Project,Package,Class,Method,Smell,Description,Method start line no,File
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 3,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 24,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xffffffffL,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 8,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 16,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 24,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xffffffffL,214,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedShort,Magic Number,The method contains a magic number: 0xff,231,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedShort,Magic Number,The method contains a magic number: 0xff,231,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedShort,Magic Number,The method contains a magic number: 8,231,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedShort,Magic Number,The method contains a magic number: 0xff,245,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedShort,Magic Number,The method contains a magic number: 0xff,245,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedShort,Magic Number,The method contains a magic number: 8,245,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Long Statement,The length of the statement "return ((value >> 0 & 0xff) << 24) + ((value >> 8 & 0xff) << 16) + ((value >> 16 & 0xff) << 8)+ ((value >> 24 & 0xff) << 0);" is 124.,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 0xff,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 24,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 8,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 0xff,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 16,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 16,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,swapInteger,Magic Number,The method contains a magic number: 0xff,283,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
