Project,Package,Class,Method,Smell,Description,File
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToOutputStream,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.IOUtils.copy; org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToOutputStream_IO84,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToOutputStream_IO84,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.input.NullInputStream.init; org.apache.commons.io.IOUtils.copy; org.apache.commons.io.IOUtils.copyLarge,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToOutputStreamWithBufferSize,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToWriter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToWriter,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToWriter_Encoding,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToWriter_Encoding_nullEncoding,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToWriter_Encoding_nullEncoding,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToAppendable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToAppendable,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToAppendable_IO84,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToOutputStream,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToOutputStream,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToOutputStream_Encoding_nullEncoding,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToOutputStream_Encoding_nullEncoding,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToWriter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToWriter,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.io.output.ByteArrayOutputStream.toByteArray; org.apache.commons.io.output.ByteArrayOutputStream.size,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_readerToWriter_IO84,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
