Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-io,org.apache.commons.io,DirectoryWalker,handleRestricted,2,1,3,572,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleStart,2,1,2,589,0,,
commons-io,org.apache.commons.io,DirectoryWalker,walk,11,1,2,604,0,org.apache.commons.io.DirectoryWalker,org.apache.commons.io.DirectoryWalker
commons-io,org.apache.commons.io,DirectoryWalker,walk,29,6,3,632,0,org.apache.commons.io.DirectoryWalker,org.apache.commons.io.DirectoryWalker
commons-io,org.apache.commons.io,IOExceptionWithCause,IOExceptionWithCause,3,1,2,36,0,,
commons-io,org.apache.commons.io,IOExceptionWithCause,IOExceptionWithCause,3,1,1,52,0,,
commons-io,org.apache.commons.io,FileSystem,current,12,4,0,266,0,,
commons-io,org.apache.commons.io,FileSystem,getCurrent,3,1,0,284,0,,
commons-io,org.apache.commons.io,FileSystem,getOsMatchesName,3,1,1,293,0,org.apache.commons.io.FileSystem,org.apache.commons.io.FileSystem
commons-io,org.apache.commons.io,FileSystem,getSystemProperty,9,1,1,304,0,,
commons-io,org.apache.commons.io,FileSystem,indexOfFirstDot,11,4,1,329,0,,
commons-io,org.apache.commons.io,FileSystem,isOsNameMatch,6,2,2,341,0,,
commons-io,org.apache.commons.io,FileSystem,replace,3,1,3,360,0,,
commons-io,org.apache.commons.io,FileSystem,safeTruncate,15,3,2,372,0,,
commons-io,org.apache.commons.io,FileSystem,splitExtension,4,1,1,396,0,org.apache.commons.io.FileSystem,org.apache.commons.io.FileSystem
commons-io,org.apache.commons.io,FileSystem,trimExtension,4,1,1,403,0,org.apache.commons.io.FileSystem,org.apache.commons.io.FileSystem
commons-io,org.apache.commons.io,FileSystem,FileSystem,14,1,11,425,0,org.apache.commons.io.FilenameUtils,org.apache.commons.io.FilenameUtils
commons-io,org.apache.commons.io,FileSystem,getBlockSize,3,1,0,459,0,,
commons-io,org.apache.commons.io,FileSystem,getIllegalFileNameChars,7,2,0,469,0,,
commons-io,org.apache.commons.io,FileSystem,getIllegalFileNameCodePoints,3,1,0,482,0,,
commons-io,org.apache.commons.io,FileSystem,getMaxFileNameLength,3,1,0,492,0,,
commons-io,org.apache.commons.io,FileSystem,getMaxPathLength,3,1,0,522,0,,
commons-io,org.apache.commons.io,FileSystem,getNameLengthStrategy,3,1,0,549,0,,
commons-io,org.apache.commons.io,FileSystem,getNameSeparator,3,1,0,553,0,,
commons-io,org.apache.commons.io,FileSystem,getReservedFileNames,3,1,0,563,0,,
