Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jsoup,org.jsoup.helper,AuthenticationHandler.GlobalHandler,1,0,0,0,18,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/AuthenticationHandler.java,69
jsoup,org.jsoup.helper,ValidationException,1,1,2,2,20,4,0,0,1.0,3,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/ValidationException.java,6
jsoup,org.jsoup.helper,HttpConnection,56,5,48,44,1021,58,0,1,0.041666666666666664,10,10,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/HttpConnection.java,55
jsoup,org.jsoup.helper,HttpConnection.Base,5,0,0,0,145,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/HttpConnection.java,410
jsoup,org.jsoup.helper,HttpConnection.Request,19,0,0,0,162,0,0,0,-1.0,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/HttpConnection.java,608
jsoup,org.jsoup.helper,HttpConnection.Response,15,0,0,0,388,0,0,0,-1.0,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/HttpConnection.java,832
jsoup,org.jsoup.helper,HttpConnection.KeyVal,4,0,0,0,56,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/HttpConnection.java,1343
jsoup,org.jsoup.helper,Re2jRegex,3,0,4,3,37,4,0,1,0.5,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/Re2jRegex.java,3
jsoup,org.jsoup.helper,Re2jRegex.Re2jMatcher,1,0,0,0,9,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/Re2jRegex.java,36
jsoup,org.jsoup.helper,Regex,3,0,9,5,87,11,1,0,0.4444444444444444,13,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/Regex.java,10
jsoup,org.jsoup.helper,Regex.Matcher,0,0,0,0,3,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/Regex.java,103
jsoup,org.jsoup.helper,Regex.JdkMatcher,1,0,0,0,9,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/Regex.java,107
jsoup,org.jsoup.helper,UrlBuilder,3,0,6,0,73,16,0,0,0.0,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/UrlBuilder.java,18
jsoup,org.jsoup.helper,DataUtil,10,1,19,8,316,49,0,0,0.47368421052631576,13,13,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/DataUtil.java,41
jsoup,org.jsoup.helper,DataUtil.CharsetDoc,3,0,0,0,13,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/DataUtil.java,210
jsoup,org.jsoup.helper,RequestExecutor,2,0,4,0,14,4,2,0,1.0,4,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/RequestExecutor.java,11
jsoup,org.jsoup.helper,Validate,0,0,21,19,191,37,0,0,-1.0,38,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/Validate.java,5
jsoup,org.jsoup.helper,RequestAuthHandler,0,0,4,4,26,6,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java11/org/jsoup/helper/RequestAuthHandler.java,6
jsoup,org.jsoup.helper,HttpClientExecutor,3,0,7,1,132,21,0,1,0.42857142857142855,1,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java11/org/jsoup/helper/HttpClientExecutor.java,26
jsoup,org.jsoup.helper,HttpClientExecutor.ProxyWrap,1,0,0,0,23,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java11/org/jsoup/helper/HttpClientExecutor.java,159
jsoup,org.jsoup.helper,AuthenticationHandlerTest,1,1,0,0,3,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/helper/AuthenticationHandlerTest.java,3
jsoup,org.jsoup.helper,ValidateTest,0,0,16,13,231,17,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/helper/ValidateTest.java,8
