Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,testLookupInjectionPropagate,5,1,0,68,1,net.bytebuddy.dynamic.DynamicType,net.bytebuddy.dynamic.DynamicType; net.bytebuddy.dynamic.loading.ClassInjector
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,testSubclassUsingLookup,14,1,0,80,1,net.bytebuddy.utility.JavaType,net.bytebuddy.utility.JavaType
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,testAvailable,4,1,0,108,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderEmptyEnumerationTest,testNoFurtherElements,3,1,0,12,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderEmptyEnumerationTest,testNextElementThrowsException,3,1,0,17,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyNoOpTest,testPackageNotDefined,3,1,0,12,1,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,setUp,21,1,0,42,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,testSingleParentReturnsOriginal,3,1,0,66,1,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,testSingleParentReturnsOriginalChained,3,1,0,73,1,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,testClassLoaderFilter,3,1,0,81,1,net.bytebuddy.matcher.ElementMatchers,net.bytebuddy.matcher.ElementMatchers
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,testMostSpecificInHierarchyFirst,3,1,0,89,1,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,testMostSpecificInHierarchyFirstChained,3,1,0,96,1,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoaderTest,testMostSpecificInHierarchyLast,3,1,0,104,1,,
